REPORTING_YEAR,FACILITY_NAME,GHGRP_ID,REPORTED_ADDRESS,lat,long,CITY_NAME,COUNTY_NAME,STATE,ZIP_CODE,PARENT_COMPANIES,ghg_quantity,SUBPARTS
2011,Lake Cogeneration,1001273,39001 GOLDEN GEM DRIVE,28.9158,-81.676,UMATILLA,Lake,FL,32784,"Atlantic Power Holdings, Inc (100%)",215453,C
2011,MERCER LIME CO,1005030,560 BRANCHTON RD,41.074885,-79.983538,SLIPPERY ROCK,BUTLER COUNTY,PA,16057,Mercer Lime Co. (100%),215388,"C,S"
2011,Mid Set Cogeneration Facility,1004004,13705 SHALE ROAD,35.19414,-119.56753,FELLOWS,KERN COUNTY,CA,93224,Chevron Global Power Company (50%); EDISON MISSION ENERGY CO (50%),215311,C
2011,SAVANNAH SUGAR REFINERY,1001882,201 OXNARD DRIVE,32.14389,-81.14666,PORT WENTWORTH,CHATHAM,GA,31407,IMPERIAL SUGAR CO (100%),214726,C
2011,US LIME COMPANY-ST. CLAIR,1002397,98054 S. 4610 Rd,35.5816,-94.81918,MARBLE CITY,SEQUOYAH COUNTY,OK,74945,US LIME & MINERALS INC (100%),214561,"C,S"
2011,Nassau Energy LLC,1001260,185 CHARLES LINDBERGH BLVD,40.7259,-73.5885,GARDEN CITY,Nassau,NY,11530,GDF SUEZ ENERGY NORTH AMERICA INC (100%),214156,C
2011,GLOBE METALLURGICAL,1003777,2401 OLD MONTGOMERY HIGHWAY,32.379512,-86.992948,SELMA,DALLAS,AL,36703,GLOBE SPECIALTY METALS INC (100%),213603,"C,K"
2011,Carleton Farms Landfill,1007521,28800 CLARK RD,42.093,-83.428,SUMPTER TWP,WAYNE,MI,48164,"Republic Services, Inc. (100%)",213476,"C,HH"
2011,HAL C WEAVER POWER PLANT,1003645,215 E 24TH,30.28724,-97.73589,AUSTIN,TRAVIS COUNTY,TX,78713,UNIVERSITY OF TEXAS AT AUSTIN (100%),213463,C
2011,"Webster County Coal, LLC",1010056,4611 State Route 270 ,37.4767119,-87.8200159,West Clay,,KY,42401,"Alliance Coal, LLC (100%)",213332,FF
2011,VERSO PAPER CORP. - SARTELL MILL,1003164,100 EAST SARTELL STREET,45.619724,-94.20093,SARTELL,STEARNS,MN,56377,VERSO PAPER CORP (100%),213235,"C,TT"
2011,ONEOK Bushton Plant,1004715,777 Avenue Y,38.52177,-98.351255,Bushton,RICE,KS,67427,"ONEOK Partners, L.P. (100%)",212848,"C,NN,W"
2011,Oleander Power Project,1006808,555 TOWNSEND RD,28.3661,-80.7947,COCOA,Brevard,FL,32926,Southern Company (100%),212681,"C,D"
2011,Vitro Flat Glass LLC,1002217,400 Park Drive,40.12921,-77.16726,Carlisle,CUMBERLAND COUNTY,PA,17015,PPG INDUSTRIES INC (100%),211813,"C,N"
2011,TULLYTOWN RESOURCE RECOVER FACILITY (TRRF) LANDFILL,1007634,200 BORDENTOWN ROAD,40.133394,-74.804474,TULLYTOWN,BUCKS,PA,19007,"Waste Management, Inc. (100%)",211750,HH
2011,Kyrene Generating Station,1000241,7005 S KYRENE RD,33.3544,-111.9364,TEMPE,Maricopa,AZ,85283,SALT RIVER PROJECT (100%),211539,"C,D"
2011,EL CEDRO GAS Treating PLANT,1003313,,36.6885,-107.4019,BLANCO,RIO ARRIBA,NM,87412,"Williams Field Services Group, LLC (100%)",211225,"C,W"
2011,535 Green River Basin QEP Energy Company,1008295,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,Denver,CO,80265,QEP RESOURCES INC (100%),211218,W
2011,INTEL CORPORATION - Ocotillo Campus,1004371,4500 SOUTH DOBSON ROAD,33.24591,-111.88146,CHANDLER,MARICOPA COUNTY,AZ,85248,INTEL CORP (100%),211176,"C,I"
2011,Detroit Renewable Power LLC,1004125,5700 Russell,42.368645,-83.051749,Detroit,WAYNE,MI,48211,"Detroit Renewable Resources LLC (75%); THERMAL VENTURES II, LP (25%)",211033,C
2011,MONTGOMERY COUNTY RESOURCE RECOVERY FACILITY,1000623,21204 MARTINSBURG ROAD,39.200734,-77.456357,DICKERSON,MONTGOMERY,MD,20842,NORTHEAST MARYLAND WASTE DISPOSAL AUTHORITY (100%),211029,C
